experience,education_level,job_role,location,industry,salary
6,Masters,Analyst,Chennai,Retail,598000.0
10,Bachelors,Business Analyst,Kolkata,Healthcare,655000.0
21,High School,Manager,Hyderabad,Manufacturing,1450000.0
11,High School,Analyst,Mumbai,Finance,884000.0
15,Bachelors,DevOps Engineer,Pune,Manufacturing,1041000.0
24,High School,Analyst,Pune,Retail,520000.0
8,High School,Manager,Bangalore,Education,782000.0
25,High School,Manager,Kolkata,Education,1076000.0
6,Masters,Analyst,Hyderabad,IT,923000.0
1,Bachelors,DevOps Engineer,Delhi,Education,548000.0
21,High School,Data Scientist,Delhi,Education,1011000.0
7,Masters,Manager,Bangalore,Manufacturing,1638000.0
7,Masters,Business Analyst,Delhi,Retail,797000.0
12,Bachelors,Business Analyst,Bangalore,IT,1033000.0
6,Bachelors,Software Engineer,Kolkata,Healthcare,754000.0
2,Masters,Business Analyst,Delhi,Finance,827000.0
8,PhD,Software Engineer,Kolkata,Finance,1209000.0
23,Masters,Manager,Hyderabad,Healthcare,1976000.0
2,Bachelors,Business Analyst,Pune,Manufacturing,566000.0
22,Masters,Analyst,Bangalore,Finance,1446000.0
9,Bachelors,Analyst,Pune,IT,769000.0
4,Bachelors,Business Analyst,Pune,Healthcare,530000.0
3,PhD,Analyst,Mumbai,Manufacturing,839000.0
24,Bachelors,Manager,Kolkata,Education,1306000.0
11,Bachelors,DevOps Engineer,Mumbai,Finance,1383000.0
0,Bachelors,Analyst,Hyderabad,IT,506000.0
19,Bachelors,Analyst,Pune,Manufacturing,603000.0
4,Masters,Data Scientist,Kolkata,Healthcare,1028000.0
21,Bachelors,Software Engineer,Kolkata,IT,1121000.0
11,Bachelors,Data Scientist,Mumbai,IT,1567000.0
4,Bachelors,Software Engineer,Mumbai,IT,1018000.0
22,Bachelors,Software Engineer,Bangalore,Healthcare,1299000.0
1,Bachelors,Data Scientist,Hyderabad,Education,658000.0
16,Masters,Business Analyst,Kolkata,Finance,1024000.0
5,Bachelors,Software Engineer,Bangalore,Education,818000.0
2,Masters,Analyst,Kolkata,Healthcare,551000.0
25,Bachelors,Analyst,Kolkata,Education,610000.0
6,PhD,Software Engineer,Mumbai,Education,1084000.0
24,Bachelors,DevOps Engineer,Delhi,Healthcare,1278000.0
15,Masters,Manager,Bangalore,Finance,2348000.0
0,High School,Manager,Chennai,Retail,605000.0
8,Bachelors,Analyst,Kolkata,Manufacturing,550000.0
23,Masters,Manager,Mumbai,IT,2833000.0
17,Bachelors,Data Scientist,Delhi,Manufacturing,1257000.0
2,Masters,Software Engineer,Kolkata,IT,839000.0
15,Masters,Analyst,Bangalore,IT,1138000.0
15,High School,Analyst,Hyderabad,Manufacturing,632000.0
1,Bachelors,Software Engineer,Kolkata,IT,647000.0
4,Bachelors,Analyst,Kolkata,Healthcare,500000.0
13,PhD,Analyst,Kolkata,IT,1010000.0
4,PhD,Software Engineer,Hyderabad,Retail,917000.0
19,Bachelors,Business Analyst,Pune,IT,1034000.0
2,Bachelors,Software Engineer,Delhi,Manufacturing,742000.0
23,Bachelors,DevOps Engineer,Pune,Finance,1686000.0
9,Masters,Software Engineer,Bangalore,IT,1272000.0
9,Masters,Analyst,Delhi,IT,1098000.0
23,PhD,Data Scientist,Pune,IT,1997000.0
7,Masters,DevOps Engineer,Kolkata,Healthcare,1000000.0
22,High School,Data Scientist,Delhi,Manufacturing,1065000.0
21,Masters,DevOps Engineer,Bangalore,Education,1250000.0
9,Masters,DevOps Engineer,Mumbai,Education,1167000.0
11,PhD,Manager,Hyderabad,Retail,1578000.0
19,Bachelors,Analyst,Pune,Education,577000.0
25,High School,Business Analyst,Delhi,Retail,599000.0
22,Bachelors,Manager,Chennai,IT,1846000.0
1,Bachelors,DevOps Engineer,Bangalore,Retail,658000.0
20,Masters,Business Analyst,Pune,Retail,829000.0
11,Masters,Analyst,Chennai,Manufacturing,893000.0
24,Bachelors,Manager,Chennai,IT,2056000.0
3,Bachelors,DevOps Engineer,Chennai,Finance,967000.0
9,PhD,Manager,Delhi,Education,1726000.0
25,Bachelors,Business Analyst,Chennai,Education,674000.0
15,High School,Data Scientist,Bangalore,Education,954000.0
23,Masters,Analyst,Kolkata,IT,1048000.0
0,Masters,Analyst,Chennai,Education,447000.0
9,Bachelors,Business Analyst,Chennai,Education,574000.0
13,High School,Analyst,Delhi,Healthcare,689000.0
25,Masters,DevOps Engineer,Delhi,Healthcare,1465000.0
8,Bachelors,Data Scientist,Chennai,Finance,1360000.0
3,Bachelors,Business Analyst,Bangalore,Education,558000.0
9,Bachelors,Analyst,Bangalore,Healthcare,642000.0
6,Masters,DevOps Engineer,Chennai,Education,748000.0
16,Masters,Software Engineer,Mumbai,IT,1746000.0
19,Masters,DevOps Engineer,Chennai,Healthcare,1122000.0
18,Bachelors,Manager,Chennai,IT,1730000.0
13,Masters,Manager,Mumbai,Finance,2655000.0
14,High School,Business Analyst,Mumbai,Education,679000.0
3,PhD,Software Engineer,Pune,Retail,751000.0
20,Bachelors,DevOps Engineer,Pune,Finance,1528000.0
10,Masters,Manager,Bangalore,Finance,2184000.0
25,Masters,Business Analyst,Hyderabad,Manufacturing,1100000.0
17,Masters,Data Scientist,Chennai,Retail,1323000.0
4,Bachelors,Business Analyst,Bangalore,Manufacturing,636000.0
11,Masters,Analyst,Delhi,Finance,1063000.0
18,Bachelors,Analyst,Chennai,Retail,738000.0
19,Bachelors,Business Analyst,Pune,IT,872000.0
6,Masters,Business Analyst,Kolkata,Manufacturing,651000.0
24,Masters,DevOps Engineer,Chennai,Manufacturing,1120000.0
25,High School,Business Analyst,Chennai,Retail,639000.0
18,PhD,Data Scientist,Pune,IT,2100000.0
16,Masters,Software Engineer,Chennai,Manufacturing,1224000.0
24,PhD,Data Scientist,Hyderabad,Education,1623000.0
23,Masters,Data Scientist,Kolkata,Education,999000.0
17,Bachelors,Business Analyst,Bangalore,Education,750000.0
21,High School,Software Engineer,Bangalore,Retail,887000.0
12,PhD,Business Analyst,Hyderabad,Finance,1421000.0
18,Masters,Software Engineer,Delhi,Finance,1798000.0
14,Bachelors,Business Analyst,Delhi,IT,982000.0
21,Masters,Software Engineer,Chennai,IT,1203000.0
0,High School,DevOps Engineer,Kolkata,IT,499000.0
4,PhD,DevOps Engineer,Mumbai,Retail,1247000.0
9,Masters,Software Engineer,Chennai,Manufacturing,1037000.0
8,Bachelors,Analyst,Chennai,Retail,553000.0
7,Masters,Manager,Pune,Finance,1773000.0
25,Bachelors,DevOps Engineer,Mumbai,Healthcare,1597000.0
11,Masters,DevOps Engineer,Mumbai,IT,1559000.0
16,Bachelors,Business Analyst,Chennai,Manufacturing,733000.0
5,Masters,Data Scientist,Hyderabad,Finance,1535000.0
1,Masters,Analyst,Mumbai,Finance,839000.0
23,PhD,DevOps Engineer,Pune,Finance,1648000.0
18,Masters,Business Analyst,Kolkata,Finance,1119000.0
19,Bachelors,Data Scientist,Hyderabad,Retail,1250000.0
1,Bachelors,Analyst,Mumbai,Healthcare,591000.0
7,Masters,Software Engineer,Mumbai,Healthcare,1095000.0
17,Masters,Analyst,Mumbai,Retail,897000.0
21,High School,Software Engineer,Chennai,IT,934000.0
11,Bachelors,Data Scientist,Bangalore,Manufacturing,1122000.0
25,Masters,Software Engineer,Hyderabad,Manufacturing,1241000.0
10,PhD,Business Analyst,Bangalore,Finance,1401000.0
14,Bachelors,DevOps Engineer,Hyderabad,Finance,1325000.0
22,Bachelors,Data Scientist,Chennai,Finance,1725000.0
13,Masters,Manager,Chennai,Finance,2102000.0
25,Bachelors,Analyst,Pune,IT,943000.0
6,Bachelors,DevOps Engineer,Delhi,Manufacturing,944000.0
11,Bachelors,Business Analyst,Kolkata,IT,852000.0
12,Bachelors,Manager,Pune,Manufacturing,1423000.0
1,Masters,Software Engineer,Kolkata,Healthcare,605000.0
19,Masters,Data Scientist,Mumbai,Healthcare,1724000.0
12,Bachelors,Software Engineer,Bangalore,Retail,862000.0
10,High School,DevOps Engineer,Pune,IT,869000.0
22,High School,Business Analyst,Kolkata,Manufacturing,646000.0
3,High School,DevOps Engineer,Bangalore,Manufacturing,668000.0
23,Masters,DevOps Engineer,Bangalore,Finance,2326000.0
18,Masters,Business Analyst,Hyderabad,Finance,1476000.0
21,Masters,Manager,Bangalore,Education,1730000.0
25,Masters,DevOps Engineer,Chennai,Manufacturing,1377000.0
10,PhD,Business Analyst,Mumbai,Healthcare,1187000.0
9,Bachelors,Data Scientist,Kolkata,Finance,1134000.0
12,Masters,Manager,Bangalore,Retail,1950000.0
2,Bachelors,Software Engineer,Chennai,Manufacturing,611000.0
11,Bachelors,Business Analyst,Mumbai,IT,1005000.0
0,Masters,DevOps Engineer,Kolkata,Retail,537000.0
7,Masters,Business Analyst,Hyderabad,Education,673000.0
4,Bachelors,DevOps Engineer,Delhi,Manufacturing,818000.0
3,Bachelors,Data Scientist,Bangalore,Finance,1200000.0
13,Masters,Business Analyst,Hyderabad,IT,1266000.0
22,Bachelors,Software Engineer,Bangalore,IT,1426000.0
13,High School,Analyst,Pune,Healthcare,620000.0
5,PhD,Analyst,Delhi,Education,714000.0
19,Masters,Analyst,Kolkata,Retail,798000.0
5,Masters,Business Analyst,Chennai,Healthcare,863000.0
9,Bachelors,DevOps Engineer,Chennai,Education,777000.0
12,Bachelors,Business Analyst,Chennai,Retail,699000.0
1,High School,Analyst,Mumbai,Education,340000.0
3,Masters,Analyst,Chennai,Education,438000.0
14,Bachelors,Analyst,Kolkata,Finance,878000.0
12,Bachelors,Data Scientist,Bangalore,IT,1552000.0
3,Masters,Business Analyst,Pune,Finance,919000.0
16,Masters,Data Scientist,Bangalore,Manufacturing,1602000.0
